\0/3  ↉
\1/  ⅟
\1/10  ⅒
\1/2  ½
\1/3  ⅓
\1/4  ¼
\1/4  ¼
\1/5  ⅕
\1/6  ⅙
\1/7  ⅐
\1/8  ⅛
\1/9  ⅑
\2/3  ⅔
\2/5  ⅖
\3/4  ¾
\3/5  ⅗
\3/8  ⅜
\4/5  ⅘
\5/6  ⅚
\5/8  ⅝
\7/8  ⅞
\AA  Å
\AE  Æ
\Alpha  Α
\And  ⩓
\Angle  ⦜
\Angstrom  Å
\Beta  Β
\Bot  ⫫
\Bumpeq  ≎
\Cap  ⋒
\Chi  Χ
\Colon  ∷
\Coloneq  ⩴
\Cup  ⋓
\DDownarrow  ⟱
\DH  Ð
\DJ  Đ
\Dashv  ⫤
\Ddownarrow  ⤋
\Delta  Δ
\Digamma  Ϝ
\Doteq  ≑
\DownArrowBar  ⤓
\DownArrowUpArrow  ⇵
\DownLeftRightVector  ⥐
\DownLeftTeeVector  ⥞
\DownLeftVectorBar  ⥖
\DownRightTeeVector  ⥟
\DownRightVectorBar  ⥗
\Downarrow  ⇓
\ElOr  ⩖
\Elroang  ⦆
\Epsilon  Ε
\Equal  ⩵
\Equiv  ≣
\Eta  Η
\Finv  Ⅎ
\Game  ⅁
\Gamma  Γ
\Im  ℑ
\Iota  Ι
\Kappa  Κ
\Koppa  Ϟ
\L  Ł
\Lambda  Λ
\Lap  ⧊
\Ldsh  ↲
\LeftDownTeeVector  ⥡
\LeftDownVectorBar  ⥙
\LeftRightVector  ⥎
\LeftTeeVector  ⥚
\LeftTriangleBar  ⧏
\LeftUpDownVector  ⥑
\LeftUpTeeVector  ⥠
\LeftUpVectorBar  ⥘
\LeftVectorBar  ⥒
\Leftarrow  ⇐
\Leftrightarrow  ⇔
\Lleftarrow  ⇚
\Longleftarrow  ⟸
\Longleftrightarrow  ⟺
\Longmapsfrom  ⟽
\Longmapsto  ⟾
\Longrightarrow  ⟹
\Lsh  ↰
\Mapsfrom  ⤆
\Mapsto  ⤇
\Mu  Μ
\NG  Ŋ
\Nearrow  ⇗
\NestedGreaterGreater  ⪢
\NestedLessLess  ⪡
\NotGreaterGreater  ≫̸
\NotLeftTriangleBar  ⧏̸
\NotLessLess  ≪̸
\NotNestedGreaterGreater  ⪢̸
\NotNestedLessLess  ⪡̸
\NotRightTriangleBar  ⧐̸
\NotSquareSubset  ⊏̸
\NotSquareSuperset  ⊐̸
\Nu  Ν
\Nwarrow  ⇖
\O  Ø
\OE  Œ
\Omega  Ω
\Omicron  Ο
\Or  ⩔
\Otimes  ⨷
\P  ¶
\Phi  Φ
\Pi  Π
\Prec  ⪻
\PropertyLine  ⅊
\Psi  Ψ
\QED  ∎
\Rdsh  ↳
\Re  ℜ
\ReverseUpEquilibrium  ⥯
\Rho  Ρ
\RightDownTeeVector  ⥝
\RightDownVectorBar  ⥕
\RightTeeVector  ⥛
\RightTriangleBar  ⧐
\RightUpDownVector  ⥏
\RightUpTeeVector  ⥜
\RightUpVectorBar  ⥔
\RightVectorBar  ⥓
\Rightarrow  ⇒
\Rlarr  ⥂
\RoundImplies  ⥰
\Rrightarrow  ⇛
\Rsh  ↱
\RuleDelayed  ⧴
\S  §
\Sampi  Ϡ
\Searrow  ⇘
\Sigma  Σ
\Sqcap  ⩎
\Sqcup  ⩏
\Stigma  Ϛ
\Subset  ⋐
\Succ  ⪼
\Supset  ⋑
\Swarrow  ⇙
\TH  Þ
\Tau  Τ
\Theta  Θ
\Times  ⨯
\Top  ⫪
\UUparrow  ⟰
\UpArrowBar  ⤒
\UpEquilibrium  ⥮
\Uparrow  ⇑
\Updownarrow  ⇕
\Upsilon  Υ
\Uuparrow  ⤊
\VDash  ⊫
\Vdash  ⊩
\Vert  ‖
\Vvdash  ⊪
\Vvert  ⦀
\Xi  Ξ
\Yup  ⅄
\Zbar  Ƶ
\Zeta  Ζ
\^  ⁼
\^!  ꜝ
\^(  ⁽
\^)  ⁾
\^+  ⁺
\^-  ⁻
\^0  ⁰
\^1  ¹
\^2  ²
\^3  ³
\^4  ⁴
\^5  ⁵
\^6  ⁶
\^7  ⁷
\^8  ⁸
\^9  ⁹
\^A  ᴬ
\^B  ᴮ
\^D  ᴰ
\^E  ᴱ
\^G  ᴳ
\^H  ᴴ
\^I  ᴵ
\^J  ᴶ
\^K  ᴷ
\^L  ᴸ
\^M  ᴹ
\^N  ᴺ
\^O  ᴼ
\^P  ᴾ
\^R  ᴿ
\^T  ᵀ
\^U  ᵁ
\^V  ⱽ
\^W  ᵂ
\^a  ᵃ
\^alpha  ᵅ
\^b  ᵇ
\^beta  ᵝ
\^c  ᶜ
\^chi  ᵡ
\^d  ᵈ
\^delta  ᵟ
\^downarrow  ꜜ
\^e  ᵉ
\^epsilon  ᵋ
\^f  ᶠ
\^g  ᵍ
\^gamma  ᵞ
\^h  ʰ
\^i  ⁱ
\^iota  ᶥ
\^j  ʲ
\^k  ᵏ
\^l  ˡ
\^ltphi  ᶲ
\^m  ᵐ
\^n  ⁿ
\^o  ᵒ
\^p  ᵖ
\^phi  ᵠ
\^r  ʳ
\^s  ˢ
\^t  ᵗ
\^theta  ᶿ
\^u  ᵘ
\^uparrow  ꜛ
\^v  ᵛ
\^w  ʷ
\^x  ˣ
\^y  ʸ
\^z  ᶻ
\_  ˲
\_  ₌
\_(  ₍
\_)  ₎
\_+  ₊
\_-  ₋
\_0  ₀
\_1  ₁
\_2  ₂
\_3  ₃
\_4  ₄
\_5  ₅
\_6  ₆
\_7  ₇
\_8  ₈
\_9  ₉
\_<  ˱
\_a  ₐ
\_beta  ᵦ
\_chi  ᵪ
\_e  ₑ
\_gamma  ᵧ
\_h  ₕ
\_i  ᵢ
\_j  ⱼ
\_k  ₖ
\_l  ₗ
\_m  ₘ
\_n  ₙ
\_o  ₒ
\_p  ₚ
\_phi  ᵩ
\_r  ᵣ
\_rho  ᵨ
\_s  ₛ
\_schwa  ₔ
\_t  ₜ
\_u  ᵤ
\_v  ᵥ
\_x  ₓ
\aa  å
\adots  ⋰
\ae  æ
\aleph  ℵ
\allequal  ≌
\alpha  α
\amalg  ⨿
\angdnr  ⦟
\angle  ∠
\angles  ⦞
\angleubar  ⦤
\annuity  ⃧
\approx  ≈
\approxeq  ≊
\approxeqq  ⩰
\approxnotequal  ≆
\aquarius  ♒
\arceq  ≘
\aries  ♈
\ast  ∗
\asteq  ⩮
\astrosun  ☉
\asymp  ≍
\awint  ⨑
\backepsilon  ϶
\backppprime  ‷
\backpprime  ‶
\backprime  ‵
\backsim  ∽
\backsimeq  ⋍
\bagmember  ⋿
\barcap  ⩃
\barcup  ⩂
\barleftarrow  ⇤
\barleftarrowrightarrowbar  ↹
\barovernorthwestarrow  ↸
\barrightarrowdiamond  ⤠
\barvee  ⊽
\barwedge  ⊼
\bbrktbrk  ⎶
\bbsum  ⅀
\because  ∵
\beta  β
\beth  ℶ
\between  ≬
\bigblacktriangledown  ▼
\bigblacktriangleup  ▲
\bigbot  ⟘
\bigcap  ⋂
\bigcirc  ○
\bigcup  ⋃
\bigcupdot  ⨃
\bigodot  ⨀
\bigoplus  ⨁
\bigotimes  ⨂
\bigslopedvee  ⩗
\bigslopedwedge  ⩘
\bigsqcap  ⨅
\bigsqcup  ⨆
\bigstar  ★
\bigtimes  ⨉
\bigtop  ⟙
\bigtriangledown  ▽
\bigtriangleup  △
\biguplus  ⨄
\bigvee  ⋁
\bigwedge  ⋀
\bigwhitestar  ☆
\bkarow  ⤍
\blackcircledrightdot  ⚈
\blackcircledtwodots  ⚉
\blackcircleulquadwhite  ◕
\blackinwhitediamond  ◈
\blackinwhitesquare  ▣
\blacklefthalfcircle  ◖
\blacklozenge  ⧫
\blackpointerleft  ◄
\blackpointerright  ►
\blackrighthalfcircle  ◗
\blacksmiley  ☻
\blacksquare  ■
\blacktriangle  ▴
\blacktriangledown  ▾
\blacktriangleleft  ◀
\blacktriangleright  ▶
\blanksymbol  ␢
\blockfull  █
\blockhalfshaded  ▒
\blocklefthalf  ▌
\blocklowhalf  ▄
\blockqtrshaded  ░
\blockrighthalf  ▐
\blockthreeqtrshaded  ▓
\blockuphalf  ▀
\bot  ⊥
\botsemicircle  ◡
\bowtie  ⋈
\boxast  ⧆
\boxbar  ◫
\boxbslash  ⧅
\boxcircle  ⧇
\boxdiag  ⧄
\boxdot  ⊡
\boxminus  ⊟
\boxplus  ⊞
\boxquestion  ⍰
\boxtimes  ⊠
\boxupcaret  ⍓
\brokenbar  ¦
\btdl  ɬ
\btimes  ⨲
\bullet  •
\bullseye  ◎
\bumpeq  ≏
\bumpeqq  ⪮
\cancer  ♋
\cap  ∩
\capdot  ⩀
\capricornus  ♑
\capwedge  ⩄
\carriagereturn  ↵
\cdot  ⋅
\cdotp  ·
\cdots  ⋯
\checkmark  ✓
\chi  χ
\circ  ∘
\circeq  ≗
\circlearrowleft  ↺
\circlearrowright  ↻
\circledR  ®
\circledS  Ⓢ
\circledast  ⊛
\circledbullet  ⦿
\circledcirc  ⊚
\circleddash  ⊝
\circledequal  ⊜
\circledparallel  ⦷
\circledrightdot  ⚆
\circledstar  ✪
\circledtwodots  ⚇
\circledwhitebullet  ⦾
\circlellquad  ◵
\circlelrquad  ◶
\circleonrightarrow  ⇴
\circletophalfblack  ◓
\circleulquad  ◴
\circleurquad  ◷
\circleurquadblack  ◔
\circlevertfill  ◍
\cirfb  ◒
\cirfl  ◐
\cirfnint  ⨐
\cirfr  ◑
\clefc  𝄡
\cleff  𝄢
\clefg  𝄞
\clockoint  ⨏
\clomeg  ɷ
\closedvarcap  ⩍
\closedvarcup  ⩌
\closedvarcupsmashprod  ⩐
\clubsuit  ♣
\clwintegral  ∱
\coloneq  ≔
\commaminus  ⨩
\complement  ∁
\cong  ≅
\congdot  ⩭
\conictaper  ⌲
\conjquant  ⨇
\coprod  ∐
\copyright  ©
\csub  ⫏
\csube  ⫑
\csup  ⫐
\csupe  ⫒
\cup  ∪
\cupdot  ⊍
\cupvee  ⩅
\curlyeqprec  ⋞
\curlyeqsucc  ⋟
\curlyvee  ⋎
\curlywedge  ⋏
\curvearrowleft  ↶
\curvearrowright  ↷
\dagger  †
\daleth  ℸ
\danger  ☡
\dashV  ⫣
\dashleftharpoondown  ⥫
\dashrightharpoondown  ⥭
\dashv  ⊣
\dbkarow  ⤏
\dblarrowupdown  ⇅
\ddagger  ‡
\ddfnc  ⦙
\ddots  ⋱
\ddotseq  ⩷
\defas  ⧋
\degree  °
\del  ∇
\delta  δ
\dh  ð
\diagdown  ╲
\diagup  ╱
\diameter  ⌀
\diamond  ⋄
\diamondleftarrow  ⤝
\diamondleftarrowbar  ⤟
\diamondsuit  ♢
\dicei  ⚀
\diceii  ⚁
\diceiii  ⚂
\diceiv  ⚃
\dicev  ⚄
\dicevi  ⚅
\digamma  ϝ
\dingasterisk  ✽
\disin  ⋲
\disjquant  ⨈
\div  ÷
\divideontimes  ⋇
\dj  đ
\dlcorn  ⎣
\doteq  ≐
\dotequiv  ⩧
\dotminus  ∸
\dotplus  ∔
\dots  …
\dotsim  ⩪
\dotsminusdots  ∺
\dottedcircle  ◌
\dottimes  ⨰
\doublebarvee  ⩢
\doublepipe  ǂ
\doubleplus  ⧺
\downarrow  ↓
\downarrowbarred  ⤈
\downdasharrow  ⇣
\downdownarrows  ⇊
\downharpoonleft  ⇃
\downharpoonright  ⇂
\downharpoonsleftright  ⥥
\downvDash  ⫪
\downwhitearrow  ⇩
\downzigzagarrow  ↯
\draftingarrow  ➛
\drbkarrow  ⤐
\dshfnc  ┆
\dsol  ⧶
\dualmap  ⧟
\dyogh  ʤ
\egsdot  ⪘
\eighthnote  ♪
\ell  ℓ
\elsdot  ⪗
\emdash  —
\emptyset  ∅
\emptysetoarr  ⦳
\emptysetoarrl  ⦴
\emptysetobar  ⦱
\emptysetocirc  ⦲
\enclosecircle  ⃝
\enclosediamond  ⃟
\enclosesquare  ⃞
\enclosetriangle  ⃤
\endash  –
\eparsl  ⧣
\epsilon  ϵ
\eqcirc  ≖
\eqcolon  ≕
\eqdef  ≝
\eqdot  ⩦
\eqeqeq  ⩶
\eqgtr  ⋝
\eqless  ⋜
\eqqgtr  ⪚
\eqqless  ⪙
\eqqplus  ⩱
\eqqsim  ⩳
\eqqslantgtr  ⪜
\eqqslantless  ⪛
\eqsim  ≂
\eqslantgtr  ⪖
\eqslantless  ⪕
\equalparallel  ⋕
\equiv  ≡
\equivDD  ⩸
\eqvparsl  ⧥
\esh  ʃ
\eta  η
\eth  ð
\euler  ℯ
\eulermascheroni  ℇ
\euro  €
\exclamdown  ¡
\exists  ∃
\fallingdotseq  ≒
\fdiagovnearrow  ⤯
\fdiagovrdiag  ⤬
\female  ♀
\fhr  ɾ
\fisheye  ◉
\flat  ♭
\flatflat  𝄫
\forall  ∀
\forks  ⫝̸
\forksnot  ⫝
\forkv  ⫙
\fourthroot  ∜
\frown  ⌢
\fullouterjoin  ⟗
\gamma  γ
\ge  ≥
\gemini  ♊
\geq  ≥
\geqq  ≧
\geqqslant  ⫺
\geqslant  ⩾
\gescc  ⪩
\gesdot  ⪀
\gesdoto  ⪂
\gesdotol  ⪄
\gesles  ⪔
\gg  ≫
\ggg  ⋙
\gggnest  ⫸
\gimel  ℷ
\glE  ⪒
\gla  ⪥
\glj  ⪤
\glst  ʔ
\gnapprox  ⪊
\gneq  ⪈
\gneqq  ≩
\gnsim  ⋧
\gsime  ⪎
\gsiml  ⪐
\gtcc  ⪧
\gtcir  ⩺
\gtquest  ⩼
\gtrapprox  ⪆
\gtrdot  ⋗
\gtreqless  ⋛
\gtreqqless  ⪌
\gtrless  ≷
\gtrsim  ≳
\guillemotleft  «
\guillemotright  »
\guilsinglleft  ‹
\guilsinglright  ›
\gvertneqq  ≩︀
\hatapprox  ⩯
\hbar  ħ
\heartsuit  ♡
\hermitconjmatrix  ⊹
\hexagon  ⎔
\highminus  ¯
\hksearow  ⤥
\hkswarow  ⤦
\hlmrk  ˑ
\hookleftarrow  ↩
\hookrightarrow  ↪
\house  ⌂
\hrectangle  ▭
\hrectangleblack  ▬
\hslash  ℏ
\hvlig  ƕ
\iff  ⟺
\iiiint  ⨌
\iiint  ∭
\iint  ∬
\image  ⊷
\imath  ı
\impliedby  ⟸
\implies  ⟹
\in  ∈
\increment  ∆
\indep  ⫫
\infty  ∞
\inglst  ʖ
\int  ∫
\intBar  ⨎
\intbar  ⨍
\intcap  ⨙
\intcup  ⨚
\intercal  ⊺
\interleave  ⫴
\intprod  ⨼
\intprodr  ⨽
\intx  ⨘
\inversewhitecircle  ◙
\invnot  ⌐
\invv  ʌ
\invw  ʍ
\invwhitelowerhalfcircle  ◛
\invwhiteupperhalfcircle  ◚
\iota  ι
\isinE  ⋹
\isindot  ⋵
\isinobar  ⋷
\isins  ⋴
\isinvb  ⋸
\jmath  ȷ
\join  ⨝
\jupiter  ♃
\kappa  κ
\kernelcontraction  ∻
\koppa  ϟ
\l  ł
\lambda  λ
\langle  ⟨
\lat  ⪫
\late  ⪭
\lazysinv  ∾
\lceil  ⌈
\ldots  …
\ldq  “
\le  ≤
\leftarrow  ←
\leftarrowplus  ⥆
